 host           organization                          location
 bms88          Business Management Systems, Inc.     Fairfax, Virginia
 bmskc          PPG Inudstries, Inc. Biomedical Syst  Kansas
 bmsvme         Business Management Systems, Inc.     USA
 bmwmuc         BMW AG, FS126                         W Germany
 bmwmun         BMW AG, EW-13 (Fahrzeug-Kybernetik)   Germany
 bnlux0         Brookhaven National Labs              New York
 bnr-di         Bell-Northern Research, Ottawa, Ont.  Canada
 bnr-rsc        Bell-Northern Research, Dept 7Z45     Canada
 bnr-vpa        Bell Northern Research, Dept 2J23     Canada
 bnrmtv         Bell Northern Research, Mountain Vie  Mountain View, CA
 bnrunix        BNR, Inc.                             Research Triangle
 bnsnk          Brown and Sharpe                      North Kingstown RI
 bnu            Universitaet Bonn, Institut f. Infor  Germany
 boake2         Small Systems Consulting              Florida
 board8         Board8 Bulletin Board System          California
 bocad          BOCAD Software GmbH                   Germany
 bock           SMEGMA Engineering                    Round Rock, Texas
 bocklin        University of Arizona, Dept. of Comp  Tucson, Arizona
 boctech        The BOC Group Technical Center        New Jersey
 bode           University of Alberta Electrical Eng  Canada
 bodedo         Matchmaker Electronic Pen-Pal Networ  Austin Texas
 bodhi          Under the Bo tree                     South Bend, IN
 bogart         Internal Revenue Service, Computer    Washington, DC
 bogie          American LP Systems, Inc.             Bohemia, New York
 bogota         Texins de Columbia SA                 Columbia
 bohdan         Bohdan Associates, Inc.               Gaithersburg, MD
 bohemia        Bohemia public access UNIX            Boulder, Colorado
 bohtsg         Bank of Hawaii Tech Support           Honolulu, Hawaii
 boink          Independent Software Solutions Inc.   Anehiem, CA
 bolmen         Bolsa de Comercio de Mendoza          Mendoza
 bolton         GenRad, Inc.                          Bolton, MA
 bomb           Hummingbird                           San Francisco, CA
 bonehead       Individual                            Media, PA
 bongo          The Hole in the Wall                  California
 bonnell        Mount Bonnell Inc.                    Austin, Texas
 bony1          Bank of New York                      New York, New York
 boo            Bob Marrow                            Concord, CA
 boole          Boole & Babbage                       Sunnyvale, CA
 boomrang       Boomerang Information Services        Mountain View, CA
 boop           The C-Group                           Bonita, California
 boopsy         Boopsy-tek                            CANADA
 bootstrap      Statisics and Operations Research,    Princeton, NJ
 borg           Unix Security Newsletter              Seattle, WA
 boris          Instructional Computing Center, SUNY  Oswego, New York
 borlnd         Borland International Inc.            Scotts Valley, CA
 bos            The Christian Science Publishing Soc  Boston, MA
 bosparc        Bridge Information Systems, Inc.      St Louis, Missouri
 bosslog        Boss Logic, Inc.                      Fairfield, Iowa
 bostech        Boston Technology                     Cambridge, MA
 bostek         Bostek, Inc.                          Hanover, MA
 bostrauma      We Be Trauma                          Boston, MA
 botter         Vrije Universiteit Amsterdam, Afd.    Netherlands
 boulder        University of Colorado, Boulder       Boulder, Colorado
 bourbaki       University of Chicago, Mathematics    Chicago, Illinois
 bourbon        Signal & Image Processing Lab, Tulan  New Orleans, LA
 bov            BOV GmbH, Training & Support          Germany
 box            Ian Merritt's home machine            Oxnard, California
 boy            RTFM UN*X SOLUTIONS / Beach Systems   Sunnyvale, CA
 bpa            Bell Atlantic Company                 Philadelphia, PA
 bphl70         Plastic Manufacture                   Pennsylvania
 bphl90         Independent Copy                      Bala Cynwyd, PA
 bps01          Bankorp Property Services             RSA
 bpsm           Bryan, Pendleton, Swats, & McAlliste  Nashville, TN
 br386          Creative Synergia                     Canoga Park, CA
 bradley        Bradley University, Computing Servic  Peoria, Illinois
 braegen        The Braegen Group                     Canada
 bragrt         The Braegen Group Incorporated        Canada
 brain          BIAP Systems, Mac Software Developme  Houston, Texas
 brainwr        Brainware GmbH                        Germany
 bram           BRAM Corporation                      Beaverton, Oregon
 brambo         Bramalea Software Systems Inc.        Ontario
 brand          Signal and Image Processing Institut  Los Angeles, CA
 brat           Tandemonium                           Kent, Washington
 brauhaus       Morgue Brewing Co. Cleveland Oh.      Cleveland, Ohio
 brault         Charles Brault                        Rockville, MD
 brazil         Kidder, Peabody, & Co., Inc.          New York, New York
 brb            National Cancer Institute             Bethesda, MS
 brc            Biomedical Research Centre Ltd.       B C
 bread          Vissycom                              Islip Terrace, NY
 bredex         Bredex GmbH                           Germany
 brett          IBM Canada Ltd.                       Canada
 brian386       McCane Consulting                     Grain Valley, MO
 bridge         Bridgeway Corp.                       Redmond, WA
 bridge2        3Com Corporation, Network Systems Di  Santa Clara, CA
 bright         Bright Family and Friends             Roseville, MN
 brindle        H&S Engineering                       Cardiff by the Sea
 bristol        Bristol Technology Inc.               Ridgefield, CT
 brite          Brite Voice Systems                   Wichita, Kansas
 brixton        Brixton Systems                       Cambridge, MA
 brmfg          Brown Manufacturing Co. Inc.          Plainville, CT
 brnpsg         Brown University Planetary Science    Providence, RI
 brnwil         Brown and Williamson                  Louisville, KY
 bro            Sheridan College                      Canada
 broadway       Dept. of Elect. and Comp. Engineerin  Columbia, SC
 bromberg       Roman Lasota                          Waterbury, CT
 bronson        Microvation Consultants               Madison, CT
 bronto         Clark-Reliance Corporation            Strongsville, Ohio
 brooks         Brooks Financial Systems, Inc.        Virginia
 brothers       Brothers Electronics                  Sunnyvale, CA
 browndp        Brown Data Processing                 Woodstock, IL
 brspyr1        BRS Software Products, A Division of  Latham, New York
 brsug          BRS North American User's Group       Hanover, NH
 brt            Berkeley Research and Trading         Berkeley, CA
 brubeck        Taratec Development Corp              Newark, Delaware
 brunix         Brown University                      Providence, RI
 bsc835         Birmingham-Southern College           Birmingham, AL
 bschp          Birmingham-Southern College           Birmingham, AL
 bscvax         Birmingham-Southern College           Birmingham, AL
 bsdi           Berkeley Software Design Inc.         Falls Church, VA
 bsdrnd1        Harris Corporation, Lanier Business   Atlanta, Georgia
 bsg            Bloomsbury Software Group Inc.        Mountain View, CA
 bsghou         Business Systems Group, Inc.          Houston, Texas
 bshhou         Business Systems Group, Inc.          Houston, Texas
 bsi            Biometrics Services, Inc.             Allentown, PA
 bsjsun         B.S.J. Technologies, Inc.             U S A
 bsu-cs         Department of Computer Science, Ball  Indiana
 bsu-ucs        University Computing Services, Ball   Indiana
 bsu2           Boise State University                Boise, Idaho
 bsw            GeoWorks, Inc.                        Berkeley, CA
 btg            BTG, Inc.                             Vienna, Virginia
 bthpyd         Bethel College                        St Paul, Minnesota
 bti            Biomagnetic Technologies, inc.        San Diego, CA
 btiad17        Biomagnetic Technologies, inc.        San Diego, CA
 btni           Boys Town National Research Hospital  Omaha, Nebraska
 btr            BTR Communications Company            Mountain View, CA
 btree          Brooktree Corporation                 San Diego, CA
 btrout         Brooktrout                            Wellesley Hills MA
 btsenga        BTS Broadcast TV Systems              Salt Lake City, UT
 bu-cs          Boston University, CS Dept.           Boston, MA
 bu-jrn         Bradley University, Text Processing   Peoria, Illinois
 bu-tyng        Boston University Corporate Educatio  Tyngsboro, MA
 buadm          Bradley University, Addmissions Dept  Peoria, Illinois
 bucunix        BUC International                     Ft Lauderdale, FL
 bud            Arix Corporation                      San Jose, CA
 budda          Ryte Byte, Inc.                       Aloha, Oregon
 buddha         University of Minnesota, Nutrition    Av, SE
 budhu          Ashok's Hideaway Place, Cleveland,    Cleveland, Ohio
 buea3b2        Bradley University, E.E. Dept.        Peoria, Illinois
 buefl          Bradley University, English Deptartm  Peoria, Illinois
 bug            Handmade Designs                      Salem, Oregon
 bugs           Ram Mobile Data                       Woodbridge, NJ
 bullwinkle     Essex Information Systems             Creve Coeur, MO
 bungia         NAPS International                    St Paul, Minnesota
 bunker         ISC/Bunker Ramo                       Shelton, CT
 bunny          GTE Laboratories                      Waltham, MA
 burdvax        Unisys Corporation, Paoli Research    Paoli, PA
 buroco         BuroComp Inc.                         Canada
 burrbrn        Burr-Brown Corp.                      Tucson, Arizona
 burrito        Hank's Taco Stand                     San Jose, CA
 burrow         On Site                               Santa Clara, CA
 butelcom       Bradley University, Telecommunicatio  Peoria, Illinois
 bvax           Bell Canada                           Canada
 bvocs          BDSoft Consultants                    Las Vegas, Nevada
 bweng          Brown & Williamson Tobacco Corp.      Macon, Georgia
 bwhnmr         NMR Research Laboratory, Brigham &    Boston, MA
 bwilab3        Bradley Ward, Incorporated            Atlanta, Georgia
 bwp            Brice Weisman Productions             New York, New York
 bytepb         BYTE (McGraw-Hill)                    Peterborough, NH
 bytesiz        Byte Size Systems                     Birmingham, AL
 bytex          Bytex                                 Southborough, MA
 bythesea       By The Sea                            Clarkston, Georgia
 bywater        IBM TJ Watson Research Center         Yorktown Heights N
 c2mucts        Computer 2000 AG                      Germany
 c2tech         Nimbus Technology, Inc.               Santa Clara, CA
 c3pe           C3, Incorporated, Design Engineering  Herndon, Virginia
 c3sppr         C3 Incorporated, Technical Support    Herndon, Virginia
 c3spprt        C3 Incorporated, Technical Support    Herndon, Virginia
 ca1            Science And Technology Center         Apple Valley, CA
 cab            Instituto Balseiro, Universidad Naci  Argentina
 cabezon        Logic Automation Inc.                 Beverton, Oregon
 cac            Stratus ComUuter, Inc.                Marlboro, MA
 caci           Adepts, Inc.                          Fairfax, Virginia
 cacilj         CACI Products Company, La Jolla       La Jolla, CA
 cacsd          Commonwealth Aluminum Corp.           Lewisport, KY
 cactus         Silver State Software                 Las Vegas, Nevada
 cadd           CompuAdd                              Austin, Texas
 caddis         Interactive Software Systems Inc.     Burlingame, CA
 cadence        Cadence Design Systems                San Jose, CA
 cadet          S-Cubed                               San Diego, CA
 cadeta         Autodesk, Inc.                        Atlanta, Georgia
 cadillac       MCC CAD Program                       Austin, Texas
 cadlab         Nixdorf AG, Abt. CS-2-CADLAB / Uni    Germany
 cadlab1        Stichting Cadlab                      Netherlands
 cadnetix       Dazix Corporation                     Boulder, Colorado
 cadntl         CAD National                          Santa Clara, CA
 cadovax        Contel Business Systems, Computer Op  Torrance, CA
 cadre          University of Pittsburgh, Decision    Pittsburgh, PA
 cadreor        Cadre Technologies                    Beaverton, Oregon
 cadretx        Cadre Technolgoies                    Texas
 cadware        CADWARE, Inc.                         New Haven, CT
 cae780         Comdisco Systems Inc.                 Foster City, CA
 caeco          Mentor Graphics / IC Group            USA
 caen           College of Engineering, University    Ann Arbor, MI
 caerdroia      Bansidhe Publications                 Austin, Texas
 caesar         Mont. State University, Dept. of Com  Bozeman, Montana
 cai            Century Analysis Incorporated         Pacheco, CA
 cai-usd        Computer Aid, Inc., UNIX Systems Div  Allentown, PA
 cairns         Youth With a Mission Mercy Ships      Lindale, Texas
 cairo          Anzelmo Associates Inc.               Stow, MA
 caladan        Caladan, Homeworld of House Atreides  Redmond, WA
 calay          Calay Systems, Inc.                   Irvine, California
 calcite        Rhyolite Software                     Mountain View, CA
 cald80         Calspan Advanced Technology Center,   Buffalo, New York
 caldwr         California Department of Water Resou  Sacramento, CA
 caledb         Town of Caledon Municipal Offices     Caledon East, ON
 calera         Calera Recognition Systems            Santa Clara, CA
 caliban        Individual                            Brooklyn, New York
 calico         Recognition Research Corp.            East Amherst, NY
 callisto       Dep't of Elec. Eng., Univ. of Notre   Indiana
 callum         McCallum Envelope and Printing Co.    Seattle, WA
 calmasd        Computervision (Calma) - A Division   San Diego, CA
 calpro         Samuel T. Fivian, CPA                 Rochester, NY
 cals01         My Very Own Castle, Portsmouth RI     USA
 calsci         California Scientific Software        Grass Valley, CA
 calsys         California Systems Solutions, Inc.    Palo Alto, CA
 calvin         Windsound Consulting, Inc.            Mukilteo, WA
 calyx          Calyx Corporation                     Brookfield, WI
 camano         Garland Consulting                    Camano Island, WA
 camax01        Camax Systems, Inc.                   Minneapolis, MN
 camber         Home machine                          Seminole, Florida
 cambex         Cambex Corporation                    Waltham, MA
 cambport       CambridgePort Air Systems Inc.        Salisbury Mass
 camco          Seattle Unix User's Group (Slug)      Mercer Island, WA
 camco1         Celestial Software                    Mercer Island, WA
 camcol         Cambridge Collaborative, inc          Cambridge, MA
 camdev         Motorola Inc, Communications Sector   Texas
 camerica       Camerica Corp.                        Markham, Ontario
 camex          Camex, Incorporated                   Boston, MA
 camme          Management Unit of the Mathematical   Belgium
 campfire       Residence of David J. Camp            St Louis, Missouri
 campo          Solutions in Software                 Dormont, PA
 camsys         Cambridge Systematics                 Cambridge, MA
 camtwh         Orama Incorporated                    Canada
 canada         VE6BBM/VE6TCP Packet Radio Gateway    Edmonton, AB
 canary         Canary Software                       Boulder, Colorado
 canisius       Canisius College Computer Science De  New York
 canon          Canon USA/ATD                         Costa Mesa, CA
 canstar        Alcatel Canada Wire, Inc.             Canada
 canterbury     Computer Services Centre, University  New Zealand
 cantuar        Computer Science, University of Cant  New Zealand
 capital        Washington Information Services Corp  Washington, DC
 capitol        Capitol Video Communications, Inc.    Washington, DC
 capmkt         Capital Market Technology, Inc.       Berkeley, CA
 capone         Computer Consoles Inc., CPD           Irvine, California
 capstan        The Capstan Group                     BC Canada
 cara           Cara Operations Limited               Canada
 caritas        Argus Consulting                      Oxnard, California
 carlcs         Carleton College, Department of Math  Northfield, MN
 carmel         Philip Bunce                          Carmel, California
 carole         Emulex Corporation                    Costa Mesa, CA
 carrl          Johnson Yokogawa Corp.                Carrollton, Texas
 carroll1       Carroll College                       Wisconsin
 cas785         University of North Dakota            Center for Aerospa
 casbdd         Canon USA, Inc.                       Lake Success, NY
 cascorp        Cascade Corporation                   Troutdale, Oregon
 casemo         CASE / Datatel, Inc.                  Annapolis Junction
 casesun        CASE / Datatel, Inc.                  Annapolis Junction
 casey          United Parcel Service, Research & De  Danbury, CT
 casimi         St. Casimir Parish                    Wisconsin
 casper         Casper's Place QNX                    OR USA
 castle         The Castle PAUS                       Millwood, New York
 casux4         Bell Communications Research Inc.     Piscataway, NJ
 caswell        R. Caswell & Associates Inc.          CANADA
 cat            Systemberatung Axel Dunkel            Germany
 cataly         Catalytix Corp.                       Massachusetts
 catalyst       Catalyst Software Services, Inc.      Newtown, PA
 catbird        Team Greenspot                        Dollar Bay, MI
 catlabs        SCN Research of Tigard Oregon         Tigard Oregon
 catnip         BB Consulting                         Freehold, NJ
 catuc          Computer Automation                   Tucson, Arizona
 caug           City of Augusta, Maine                Maine
 caus-dp        USPFO for California, Data Processin  San Luis Obispo CA
 caverns        Cranston Digital Design               Westland, Michigan
 cavu           Bob Toxen                             Hudson, MA
 cayenne        Cayenne Systems, Inc.                 Palo Alto, CA
 cayman         Cayman Systems, Inc.                  Cambridge, MA
 cayuga         GrammaTech Inc.                       Ithaca, New York
 cbi1           Computational Biosciences, Inc.       Ann Arbor, MI
 cbihost        Carlson and Burke                     San Francisco, CA
 cbis           Cincinnati Bell Info Systems          Maitland, Florida
 cbmbsw         Commododore Bueromaschinen GMBH, Bra  W Germany
 cbmhk          Commodore Electronics Limited, Hong   Hong Kong
 cbmtor         Commodore Business Machines Limited   Canada
 cbmvax         Commodore Business Machines           West Chester, PA
 cboard         The CallBoard System                  Fair Haven, NY
 cbs            Call Business Systems                 SLC, Utah
 cbubuc         Christian Brothers University         Memphis, Tennessee
 cc-mac         Computer Concepts                     Mill Valley, CA
 cca            Computer Corporation of America       Cambridge, MA
 ccavax         Cambridge Computer Associates, Inc.   Cambridge, MA
 ccc            Cole Computer Consulting              Chelmsford, MA
 cccan          Canadian Computer/Communications All  Canada
 cccd           Coast Community College District      Costa Mesa, CA
 cccmtl         Corps Canadien Des Commissionnaires   Canada
 ccd700         Ford Climate Control                  Dearborn, Michigan
 ccgai          CCG Associates, Inc.                  Silver Spring, MD
 cci            Competence Center Informatik          Germany
 cci44          Computer Consoles, Inc., Communicati  Rochester, NY
 cci632         Computer Consoles, Inc., Communicati  Rochester, NY
 ccicpg         ICL Advanced Development, Irvine CA   Irvine, California
 ccinc          Chandelle Consulting, Inc.            Coppell, Texas
 ccmail         cc:Mail, Inc.                         Mountain View, CA
 ccmaint        University of Texas, Computation Cen  Austin, Texas
 ccmhb          Clark County ADMH Board               Ohio
 ccns           CCNS Computer Consultants             Anchorage, Alaska
 ccnysci        City College of New York              New York, New York
 ccom           Computer Computer                     Lindsay, CA
 ccorp          Citicorp, NAIB                        New York, New York
 ccr-p6         Universite de Paris 6 Pierre et Mari  France
 ccrit          CCRIT Communications Canada           Canada
 ccrwest        Institute for Defense Analysis/ CCR-  San Diego, CA
 ccsadm         CCS Computer Systems                  Lynnwood, WA
 ccshtfd        Chris Lukas                           Hartford, CT
 ccsnew         Continental Computer Systems          Newington, CT
 cctb           Chemical Computer Thinking Battery    Bellevue, WA
 cctfe          Concurrent Computer Corporation, Gen  Tinton Falls, NJ
 ccusa          Coca-Cola USA Emerging Technologies   Atlanta, Georgia
 cda            Analogic CDA                          Peabody, MA
 cda-osi        CDA, Inc.                             Mclean, Virginia
 cdacb          Centre for Development of Advanced    INDIA
 cdbhp1         Emory University Cardiac Data Bank    Atlanta, Georgia
 cddc           CDDC Consulting                       Baltimore, MD
 cdes           Current Design                        California
 cdin-1         CompuData Inc.                        Phila, PA
 cdis-1         CompuData, Inc.                       DeLand, Florida
 cditi          CDI Technologies                      Grand Rapids, MI
 cdl            Clarendon Datex Ltd.                  West Vancouver, BC
 cdotd          Centre for Development of Telematics  INDIA
 cdp            Community Data Processing(CdP)        Menlo Park, CA
 cds            Communications Data Services, Inc.    Falls Church, VA
 cdsa           CDS Associates                        Greenwood Village
 cdsac          U.S. Computer Services                El Dorado Hills CA
 cdscom         Coines Dealership Systems             Hunt Valley, MD
 cdsmn          Dicomed, Inc.                         Burnsville, MN
 cdspr          Center for Digital Signal Processing  Piscataway, NJ
 cdstar         Cambridge Digital Systems             Cambridge, MA
 ceadg          Computer Engineering Associates, Inc  Baltimore, MD
 cec1           Cummins Engines Co.                   Columbus, Indiana
 cec13          CEC, DGXIII, Telecommunications, Inf  Belgium
 ceco           Commonweath Edison Co.                Chicago, Illinois
 cecs1          Community Education Computer Society  South Africa
 cedar          Cedar River Software, Inc.            Renton, Washington
 cedco          Kentuckiana Unix Users Group          Vine Street
 cedm01         AT&T Canada (Edmonton Office)         Edmonton Alberta
 cedric         Communications Test Design, Inc.      West Chester, PA
 cedsm          CE Software, Inc.                     West Des Moines IA
 cefybo         Centro de Estudio Farmacologicos y    Cap Fed
 ceis           Chandler Engineering, Inc.            Chandler, Arizona
 ceisrf         Chandler Engineering, Inc.            Chandler, Arizona
 celene         FMS Research                          Portland, Oregon
 celerity       FPS Computing, San Diego              San Diego, CA
 celia          Rhythm & Hues, Inc.                   Hollywood, CA
 celit          Cray Research Superservers Inc., San  San Diego, CA
 cell-one       McCaw Cellular Communications, Inc.   Kirkland, WA
 cemic          CEMIC - Centro de Educacion Medica    Buenos Aires
 cencom         Computer Center of Santa Cruz         Santa Cruz, CA
 cendata        Central Data Corp.                    Champaign, IL
 cenice         Centro de Inv. de Componentes Electr  Bs, American Samoa
 cenpat         Centro Regional Patagonico - CONICET  ARGENTINA
 censor         Bell Canada, Technology Research -    Canada
 censun1        Century Computing, Inc.               Laurel, MD
 centaur        The Gordon Institute                  Wakefield, MA
 centec         Centec Advanced Technologies          Jackson, MS
 central        University of Pittsburgh, Grad. Scho  Pittsburgh, PA
 century        Century Software                      SLC, Utah
 cepave         Centro de Estudios Parasitologico y   Provincia de Bs AS
 cepu           UCLA Dept. of Neurology / VA Wadswor  Los Angeles, CA
 ceqynn         Fac.Cs.Exactas Quimicas y Naturales   Posadas Misiones
 cerci2         Sema-Metra. CERCI                     France
 cerebus        Fujitsu America, Inc.                 San Jose, CA
 ceres          Robert L. Platt                       Round Rock, Texas
 cerl           US Army Construction Engineering Res  Champaign, IL
 cernvax        CERN European Laboratory for Particl  Switzerland
 cerritos       Cerritos College                      Norwalk, CA
 certes         Attain, Inc.                          Milpitas, CA
 cesa           Charles E. Schafer Associates         Timonium, MD
 cetia          Compagnie Europeene des Techniques    France
 cfa            Harvard-Smithsonian Center for Astro  Cambridge, MA
 cfcl           Canta Forda Computer Laboratory       Pacifica, CA
 cfctech        Chrysler Financial Corp, MIS, Distri  Southfield, MI
 cfdd40         Boeing Computer Services - Computati  Washington
 cfdt2          Boeing Computer Services - Computati  Washington
 cfg            Caine, Farber & Gordon, Inc.          Pasadena, CA
 cfgpwm         Caine, Farber & Gordon, Inc.          Cape Elizabeth, ME
 cfisun         The Consumer Financial Institute      Waltham, MA
 cfsi           Centel Federal Systems, Inc.          Reston, Virginia
 cfx            CFX Imaging Corporation               Tucson, Arizona
 cg-atla        Agfa Compugraphic Division            Mass
 cg286          Cherniak Gottlieb and Company         Ontario Canada
 cgate          N.B. Telephone                        Canada
 cgch           CIBA-GEIGY AG, Basle, Switzerland     Basle
 cgh            Chimitt Gilman Homchick, Inc.         Wayne, PA
 cgi            Computer Generation                   Atlanta, Georgia
 cgi01          Clinton Group, Inc.                   New York City, NY
 cglinc         Computer Graphics Laboratories        New York
 cgtecmz        Computer Graphik Technology GmbH      Germany
 chacha         Rutgers University Center for Comput  of New Jersey
 challenger     Computer Science House @ Rochester    Rochester, NY
 chalmers       Chalmers University of Technology,    Sweden
 chan1          Channel 1 Communications              Cambridge, MA
 chanlcom       Channel Communications                Santa Monica, CA
 chansw         Chan Smart!Ware Computer Services &   Worcester, MA
 chara          Center for High Angular Resolution    Atlanta, Georgia
 chariot        Chariot Communications                USA
 charis         Assabet Valley Domain Park            Hudson, MA
 charity        University of California at Riversid  Riverside, CA
 charro         The Charron Law Firm                  St Louis, Missouri
 charyb         KFW Corporation                       Newbury Park, CA
 chas2          Jet Propulsion Laboratory             Pasadena, CA
 chase          Chase Research, Inc.                  Nashville, TN
 chassis        Chassis Auto Parts Warehouse          Santee, California
 chcars         Chase Manhattan Bank                  New York, New York
 checkers       Datachecker Systems, Inc.             Arizona
 chekov         Northern Telecom, Ltd.                Canada
 chemabs        Chemical Abstracts Service            Columbus, Ohio
 chemstor       University of Oregon, Chemstores      Eugene, Oregon
 cherniak       Cherniak Giblon                       Ontario Canada
 chessene       Competitive Computer Systems, Lancas  Lancaster, PA
 chgo01         Motorola, Inc., Computer Group, Comm  Schaumburg, IL
 chhmed         Camp Hill Hospital, Hypertension Uni  Canada
 chicago        Chicago Software Works                Menlo Park, CA
 chillon        Unitrode Integrated Circuits Corp.    Merrimack, NH
 chimchim       McCabe and Associates                 Columbia, MD
 chimob2        Chicago Mobile Telephone Co.          Berkeley, Illinois
 china          McDonnell Douglas Corp.               Englewood, CO
 chinacat       Unicom Systems Development, Inc.      Austin, Texas
 chinet         Chinet - Public Access Un*x           Ill
 chip           M/A-COM Government Systems Inc.       San Diego, CA
 chipcom        Chipcom, Inc.                         Waltham, MA
 chips          Chips and Technologies, San Jose      San Jose, CA
 chiremv        Chiron Corporation                    Emeryville, CA
 chkpt          CheckPoint Computing                  San Jose, CA
 chla           Childrens Hosptial of Los Angeles     Los Angeles, CA
 chlamis        Childrens Hosptial of Los Angeles     Los Angeles, CA
 choice         Choice Hotels, Intl.                  Phoenix, Arizona
 chopin         American University, CSIS             DC
 chor-us        Chorus Systems, Inc.                  Portland, Oregon
 chorus         Chorus Systemes                       France
 chp            Coach House Press                     CANADA
 chris          Digital Innovations, Inc.             Chelmsford, MA
 christo        Star Technologies, Inc.               Westford, MA
 chron          Houston Chronicle                     Houston, Texas
 chronco        Chronology Corporation                Redmond, WA
 chs            Consumer Health Services, Inc.        Boulder, Colorado
 chthone        Agency for the Investigation of Spec  Mukilteo, WA
 chumley        Responsive Designs                    Dublin, California
 chuo           Chuo Trust & Banking, CO. Ltd.        New York, New York
 chvax          UNIX Interessengemeinschaft Schweiz   Zuerich
 ciao           Klaus Tegtmeyer, EDV-Beratung         Germany
 cica           Indiana University, Center for Innov  Bloomington, IN
 cichlid        Independent Consultant                Felton, California
 ciglp          Centro Investigaciones Geologicas -   ARGENTINA
 cigna          Cigna FIRST                           Irvine, California
 cignet         Chautaugua Communications             Seattle, WA
 cii            Computer Innovations, Inc.            Tinton, New Jersey
 cimflex        American Cimflex                      Pittsburgh, PA
 cimlinc        CIMLINC, Inc.                         Troy, Michigan
 cimplex        Cimplex Corporation                   Campbell, CA
 cims1          Center for Human-Machine Systems Res  Atlanta, Georgia
 cims2          CIMS, Inc.                            Spokane, WA
 cimshop        Consilium                             Mountain View, CA
 cinele         Cincinnati Electronics, Corp          Ohio
 cinmkt         Motorola, Inc., Computer Group, Comm  Cincinnati, Ohio
 cinso          Centro de Investigaciones Solidos -   ARGENTINA
 cipher         Cipher Data Products, Inc.            San Diego, CA
 cipric         Ciprico, Inc                          Plymouth, MN
 cirdan         Grey Havens Project                   Utah
 cires          Cooperative Institute for Research    Boulder, Colorado
 cirl           Cochlear Implant Research Laboratory  Boston, MA
 cirrusl        CIRRUS LOGIC Incorporated             Milpitas, CA
 cisunx         University of Pittsburgh, Computing   Pittsburgh, PA
 cit-vax        California Institute of Technology,   Pasadena, CA
 cita1          CITA Technologies, Inc.               Arlington, Texas
 cita4330       CITA Technologies                     Emmans, PA
 citadel        internet <-> Citadel gateway          Richardson, Texas
 citi           Center for Information Technology In  Ann Arbor, MI
 citibag        Citibag Inc                           Newark, New Jersey
 citibk         Citibank                              New York, New York
 cjinc          Charles Jones, Inc.                   Trenton, NJ
 cjn            CJN ltd & Jauhiainen-Nuuttila, Archi  Finland
 cjncube        Debevoise & Plimpton                  Washington, DC
 cjs1           C. J. Schneider Structural Engineeri  Omaha, Nebraska
 cjsa           C. Jeffery Small and Associates       Mercer Island, WA
 ckctpa         Edwards & Edwards Consulting          Palm Harbor, FL
 ckgp           Cleaver Ketko Gorlitz Papa & Assoc.,  Birmingham, MI
 cklin          Computer Service, Yerkes Primate Cen  Georgia
 clandphx       Computerland                          Phoenix, Arizona
 clara          Matrix Instruments Inc.               Orangeburg, NY
 claris         Claris Corporation                    Santa Clara, CA
 clark          Clark College                         Vancouver, WA
 clarus         Apple Canada, Inc.                    Ont
 clcook         C. Lee Cook, a division of Dover Res  Lousiville, KY
 cle            The Law Society of Upper Canada, Con  Canada
 clearvision    Clear Vision Foundation               Arlington, VA
 cleo           Alternative Broadcast Technology      Texas
 clever         Austrian Telecom                      Austria
 clicquot       PetroVision Inc.                      Los Altos, CA
 clif           Clif Flynt                            Ypsilanti, MI
 cliff2         Nationwide Cellular Services          Valley Stream, NY
 cline01        CenterLine Technologies               San Diego, CA
 clinical       Amgen, Inc.                           Thousand Oaks, CA
 clio           Bob Pasker, Software and Communicati  San Francisco, CA
 clipper        Intergraph Corp, Advanced Processor   Palo Alto, CA
 clleth         ComputerLand (Canada) - Lethbridge,   CANADA
 clmqt          Enterprise Information System         Marquette, MI
 clndhou        Computer Land of Houston              Houston, Texas
 cloud9         Stratus Computer, Inc.                Marlboro, MA
 clouso         Centre de Recherche Informatique de   Montreal, QC
 clout          /usr/group/chicago, inc.              Chicago, Illinois
 clover         University of California at Davis     Davis, California
 cloy           Instructional Computing Center, SUNY  Oswego, New York
 clrcom         Clear Communications                  Lincolnshire, IL
 clsi           CAD Language Systems Inc. (CLSI)      Rockville, MD
 clsib21        CLSI, Inc.                            Newtonville, MA
 cluis          Team Quest Corporation                Clear Lake, Iowa
 clunk          Home computer of Don McKillican       Canada
 clunker        ISC/Bunker Ramo                       Shelton, CT
 clydes         Integrated Network Corporation        Bridgewater, NJ
 cmc            Computer Methods Corporation          Littleton, MA
 cmc1736        Chrysler Corporation Service Systems  Centerline, MI
 cmcl2          New York University                   New York, New York
 cmcmtl         Canadian Marconi Company              CANADA
 cmcvax         Communications Machinery Corp.        Santa Barbara, CA
 cmdrdata       Frederick Sieber                      Vienna, Virginia
 cmdsf          Construction Market Data              San Francisco, CA
 cme-durer      National Institute of Standards and   Gaithersburg, MD
 cmeteoc        Canadian Meteorological Centre        Dorval, QC
 cmethod        Computer Methods Corporation          Livonia, Michigan
 cmi            Corporate Microsystems, Inc.          Etna, NH
 cmianna        Connell/McGuire                       Annapolis, MD
 cmilar         Custom Mobility, Inc.                 Largo, Florida
 cminet         California Microwave                  Woodland Hills, CA
 cmkrnl         Kernel Mode Consulting                San Diego, CA
